age,tenure_months,monthly_charges,total_charges,num_products,has_support_ticket,contract_type,payment_method,churn
56,16,57.88215655569157,6080.768214128664,2,0,1,1,0
69,61,65.70002192816784,7625.924240505865,1,1,1,0,0
46,64,80.39578720725126,7271.767358578657,2,0,1,0,0
32,63,70.22883474625301,5821.853934198654,1,1,0,1,0
60,69,73.98606371128366,6018.376948900136,1,1,1,1,1
25,22,68.63574819956078,1252.784384877649,1,0,0,3,0
38,67,60.89551770854932,912.059995492059,4,0,2,0,0
56,26,97.18819805982451,4610.145564568898,1,1,1,0,1
36,16,21.22030723180445,245.104331830266,4,0,0,0,1
40,51,79.84427012052271,3910.6154142575733,1,1,1,3,0
28,57,76.55083473229737,1761.7616813590619,1,0,2,0,0
28,29,91.61790747329522,2833.5308843942325,1,0,2,3,0
41,69,79.90293647773265,6228.857412764353,2,0,2,2,0
53,47,102.67988278090783,7535.776283435854,4,1,1,3,0
57,62,115.90747945640278,672.0885499560978,4,1,1,2,0
41,69,54.25242571785434,4320.513427213917,1,0,0,0,0
20,16,42.7350983029987,7072.01453797484,1,0,2,2,1
39,48,62.35968624204829,751.8174220793281,2,1,1,3,0
19,39,48.79296164757261,6613.660970484987,2,0,2,1,0
41,33,81.49502631526545,2926.6306723333437,2,0,2,2,0
61,23,111.18524088429648,2644.548147532749,4,0,0,2,1
47,10,33.91161941430619,7821.984451886808,4,0,0,0,1
55,69,30.07946030158865,1686.786809912124,4,1,0,3,1
19,34,45.60155318536622,5576.232132499179,1,0,0,2,1
38,52,92.60955860624007,6589.381751277945,4,0,2,2,1
50,10,79.29629052588216,425.34961270624626,3,0,0,2,0
29,19,30.22126642251996,5396.045120999856,3,1,0,2,0
39,58,111.87505222607464,7617.244797407083,2,0,0,1,0
61,1,99.00846371240867,1081.337737151669,4,0,0,3,1
42,69,22.302260478763753,7180.148291211803,3,0,2,0,1
66,4,85.13672109882461,4798.735435277795,2,1,0,0,0
44,16,97.1246668519738,4971.176196713544,4,0,2,1,0
59,24,57.4435369720422,4942.258981438287,1,0,1,3,0
45,2,26.89215393672188,2460.8035020647794,3,0,2,2,1
33,32,27.732106548878726,7488.094340865731,1,0,2,1,0
32,24,30.424696605180948,7584.068654785206,4,0,0,3,0
64,12,104.04396319804229,5039.906815690188,3,1,1,2,0
68,50,111.0686198255713,6289.039534938755,4,0,1,1,0
61,35,32.28107818457338,4936.838088461148,1,1,1,3,1
69,33,43.59060345950812,3926.7477358349206,3,0,1,0,0
20,33,36.552051036728976,5320.47893456408,1,1,2,0,1
54,61,38.63208794941207,4468.711475476472,4,0,1,3,0
68,51,103.7490789002492,4820.059314792247,4,0,2,0,0
24,43,53.214641265493896,6292.2771720090095,1,1,2,3,0
38,12,51.144426404564115,3899.1402684469804,3,1,2,2,1
26,67,42.73956208771126,421.95743813053485,1,0,1,3,0
56,65,80.78943937942587,1395.595899817028,4,0,0,2,0
35,33,57.93056983855488,3564.9970102673533,1,1,0,1,0
21,40,94.42496518432888,5826.129823005061,4,0,1,3,1
42,43,40.55798083756375,4786.901321650412,1,1,0,1,0
31,44,98.77898887144924,5237.324068400286,3,1,0,0,1
67,29,80.3721531730139,3886.3035357526696,3,0,2,2,0
26,13,31.426730005568775,4964.361973343718,1,0,2,3,0
43,12,61.450458420362764,2699.2377587358314,1,0,1,1,0
19,46,106.3518140612957,3814.442482303654,3,0,1,2,0
37,2,112.29602317984849,5979.804618200149,4,0,0,2,0
45,35,66.57001223188132,6987.478953887658,3,1,2,0,0
64,8,68.08369780890735,3525.8771382554723,4,0,1,0,0
24,26,111.84547249393012,444.9270958881534,1,1,1,2,1
61,34,78.70682241365672,1377.213098759741,1,0,1,2,0
25,7,23.284667024343836,264.80300040315103,4,0,1,3,1
64,68,111.27494628791288,5260.777851974908,1,0,1,2,0
52,58,44.82264427571519,2725.2855403053604,4,0,1,3,0
31,29,77.76319540915472,4385.581222183003,2,0,0,2,0
34,36,36.55133174279738,3996.8870895920168,3,0,2,0,0
53,21,23.3879160246595,744.059267464171,2,1,2,3,0
67,36,51.14731711327574,3285.7647528782713,4,0,1,1,0
57,10,98.04957075460877,1842.4328868863538,3,0,2,0,0
